# SYNTHETIC fixture for engine verification — NOT real market data
Date,Adj Close,Volume
2023-05-01,100.0000,2500000
2023-05-02,100.2000,1000000
2023-05-03,100.4000,1000000
2023-05-04,100.6000,1000000
2023-05-05,100.8000,1000000
2023-05-08,101.0000,1000000
2023-05-09,101.2000,2500000
2023-05-10,101.4000,1000000
2023-05-11,101.6000,1000000
2023-05-12,101.8000,1000000
2023-05-15,102.0000,1000000
2023-05-16,102.2000,1000000
2023-05-17,102.4000,2500000
2023-05-18,102.6000,1000000
2023-05-19,102.8000,1000000
2023-05-22,103.0000,1000000
2023-05-23,103.2000,1000000
2023-05-24,103.4000,1000000
2023-05-25,103.6000,2500000
2023-05-26,103.8000,1000000
2023-05-29,104.0000,1000000
2023-05-30,104.2000,1000000
2023-05-31,104.4000,1000000
2023-06-01,104.6000,1000000
2023-06-02,104.8000,2500000
2023-06-05,105.0000,1000000
2023-06-06,105.2000,1000000
2023-06-07,105.4000,1000000
2023-06-08,105.6000,1000000
2023-06-09,105.8000,1000000
2023-06-12,106.0000,2500000
2023-06-13,106.2000,1000000
2023-06-14,106.4000,1000000
2023-06-15,106.6000,1000000
2023-06-16,106.8000,1000000
2023-06-19,107.0000,1000000
2023-06-20,107.2000,2500000
2023-06-21,107.4000,1000000
2023-06-22,107.6000,1000000
2023-06-23,107.8000,1000000
2023-06-26,108.0000,1000000
2023-06-27,108.2000,1000000
2023-06-28,108.4000,2500000
2023-06-29,108.6000,1000000
2023-06-30,108.8000,1000000
2023-07-03,109.0000,1000000
2023-07-04,109.2000,1000000
2023-07-05,109.4000,1000000
2023-07-06,109.6000,2500000
2023-07-07,109.8000,1000000
2023-07-10,110.0000,1000000
2023-07-11,110.2000,1000000
2023-07-12,110.4000,1000000
2023-07-13,110.6000,1000000
2023-07-14,110.8000,2500000
2023-07-17,111.0000,1000000
2023-07-18,111.2000,1000000
2023-07-19,111.4000,1000000
2023-07-20,111.6000,1000000
2023-07-21,111.8000,1000000
2023-07-24,112.0000,2500000
2023-07-25,112.2000,1000000
2023-07-26,112.4000,1000000
2023-07-27,112.6000,1000000
2023-07-28,112.8000,1000000
2023-07-31,113.0000,1000000
2023-08-01,113.2000,2500000
2023-08-02,113.4000,1000000
2023-08-03,113.6000,1000000
2023-08-04,113.8000,1000000
2023-08-07,114.0000,1000000
2023-08-08,114.2000,1000000
2023-08-09,114.4000,2500000
2023-08-10,114.6000,1000000
2023-08-11,114.8000,1000000
2023-08-14,115.0000,1000000
2023-08-15,115.2000,1000000
2023-08-16,115.4000,1000000
2023-08-17,115.6000,2500000
2023-08-18,115.8000,1000000
2023-08-21,116.0000,1000000
2023-08-22,116.2000,1000000
2023-08-23,116.4000,1000000
2023-08-24,116.6000,1000000
2023-08-25,116.8000,2500000
2023-08-28,117.0000,1000000
2023-08-29,117.2000,1000000
2023-08-30,117.4000,1000000
2023-08-31,117.6000,1000000
2023-09-01,117.8000,1000000
2023-09-04,118.0000,2500000
2023-09-05,118.2000,1000000
2023-09-06,118.4000,1000000
2023-09-07,118.6000,1000000
2023-09-08,118.8000,1000000
2023-09-11,119.0000,1000000
2023-09-12,119.2000,2500000
2023-09-13,119.4000,1000000
2023-09-14,119.6000,1000000
2023-09-15,119.8000,1000000
2023-09-18,120.0000,1000000
2023-09-19,120.2000,1000000
2023-09-20,120.4000,2500000
2023-09-21,120.6000,1000000
2023-09-22,120.8000,1000000
2023-09-25,121.0000,1000000
2023-09-26,121.2000,1000000
2023-09-27,121.4000,1000000
2023-09-28,121.6000,2500000
2023-09-29,121.8000,1000000
