# SYNTHETIC fixture for engine verification — NOT real market data
Date,Adj Close,Volume
2023-05-01,100.0000,2500000
2023-05-02,100.1000,1000000
2023-05-03,100.2000,1000000
2023-05-04,100.3000,1000000
2023-05-05,100.4000,1000000
2023-05-08,100.5000,1000000
2023-05-09,100.6000,2500000
2023-05-10,100.7000,1000000
2023-05-11,100.8000,1000000
2023-05-12,100.9000,1000000
2023-05-15,101.0000,1000000
2023-05-16,101.1000,1000000
2023-05-17,101.2000,2500000
2023-05-18,101.3000,1000000
2023-05-19,101.4000,1000000
2023-05-22,101.5000,1000000
2023-05-23,101.6000,1000000
2023-05-24,101.7000,1000000
2023-05-25,101.8000,2500000
2023-05-26,101.9000,1000000
2023-05-29,102.0000,1000000
2023-05-30,102.1000,1000000
2023-05-31,102.2000,1000000
2023-06-01,102.3000,1000000
2023-06-02,102.4000,2500000
2023-06-05,102.5000,1000000
2023-06-06,102.6000,1000000
2023-06-07,102.7000,1000000
2023-06-08,102.8000,1000000
2023-06-09,102.9000,1000000
2023-06-12,103.0000,2500000
2023-06-13,103.1000,1000000
2023-06-14,103.2000,1000000
2023-06-15,103.3000,1000000
2023-06-16,103.4000,1000000
2023-06-19,103.5000,1000000
2023-06-20,103.6000,2500000
2023-06-21,103.7000,1000000
2023-06-22,103.8000,1000000
2023-06-23,103.9000,1000000
2023-06-26,104.0000,1000000
2023-06-27,104.1000,1000000
2023-06-28,104.2000,2500000
2023-06-29,104.3000,1000000
2023-06-30,104.4000,1000000
2023-07-03,104.5000,1000000
2023-07-04,104.6000,1000000
2023-07-05,104.7000,1000000
2023-07-06,104.8000,2500000
2023-07-07,104.9000,1000000
2023-07-10,105.0000,1000000
2023-07-11,105.1000,1000000
2023-07-12,105.2000,1000000
2023-07-13,105.3000,1000000
2023-07-14,105.4000,2500000
2023-07-17,105.5000,1000000
2023-07-18,105.6000,1000000
2023-07-19,105.7000,1000000
2023-07-20,105.8000,1000000
2023-07-21,105.9000,1000000
2023-07-24,106.0000,2500000
2023-07-25,106.1000,1000000
2023-07-26,106.2000,1000000
2023-07-27,106.3000,1000000
2023-07-28,106.4000,1000000
2023-07-31,106.5000,1000000
2023-08-01,106.6000,2500000
2023-08-02,106.7000,1000000
2023-08-03,106.8000,1000000
2023-08-04,106.9000,1000000
2023-08-07,107.0000,1000000
2023-08-08,107.1000,1000000
2023-08-09,107.2000,2500000
2023-08-10,107.3000,1000000
2023-08-11,107.4000,1000000
2023-08-14,107.5000,1000000
2023-08-15,107.6000,1000000
2023-08-16,107.7000,1000000
2023-08-17,107.8000,2500000
2023-08-18,107.9000,1000000
2023-08-21,108.0000,1000000
2023-08-22,108.1000,1000000
2023-08-23,108.2000,1000000
2023-08-24,108.3000,1000000
2023-08-25,108.4000,2500000
2023-08-28,108.5000,1000000
2023-08-29,108.6000,1000000
2023-08-30,108.7000,1000000
2023-08-31,108.8000,1000000
2023-09-01,108.9000,1000000
2023-09-04,109.0000,2500000
2023-09-05,109.1000,1000000
2023-09-06,109.2000,1000000
2023-09-07,109.3000,1000000
2023-09-08,109.4000,1000000
2023-09-11,109.5000,1000000
2023-09-12,109.6000,2500000
2023-09-13,109.7000,1000000
2023-09-14,109.8000,1000000
2023-09-15,109.9000,1000000
2023-09-18,110.0000,1000000
2023-09-19,110.1000,1000000
2023-09-20,110.2000,2500000
2023-09-21,110.3000,1000000
2023-09-22,110.4000,1000000
2023-09-25,110.5000,1000000
2023-09-26,110.6000,1000000
2023-09-27,110.7000,1000000
2023-09-28,110.8000,2500000
2023-09-29,110.9000,1000000
