# SYNTHETIC fixture for engine verification — NOT real market data
Date,Adj Close,Volume
2023-05-01,100.0000,2500000
2023-05-02,100.0000,1000000
2023-05-03,100.0000,1000000
2023-05-04,100.0000,1000000
2023-05-05,100.0000,1000000
2023-05-08,100.0000,1000000
2023-05-09,100.0000,2500000
2023-05-10,100.0000,1000000
2023-05-11,100.0000,1000000
2023-05-12,100.0000,1000000
2023-05-15,100.0000,1000000
2023-05-16,100.0000,1000000
2023-05-17,100.0000,2500000
2023-05-18,100.0000,1000000
2023-05-19,100.0000,1000000
2023-05-22,100.0000,1000000
2023-05-23,100.0000,1000000
2023-05-24,100.0000,1000000
2023-05-25,140.0000,2500000
2023-05-26,140.0000,1000000
2023-05-29,140.0000,1000000
2023-05-30,140.0000,1000000
2023-05-31,140.0000,1000000
2023-06-01,140.0000,1000000
2023-06-02,140.0000,2500000
2023-06-05,140.0000,1000000
2023-06-06,140.0000,1000000
2023-06-07,140.0000,1000000
2023-06-08,140.0000,1000000
2023-06-09,140.0000,1000000
2023-06-12,140.0000,2500000
2023-06-13,140.0000,1000000
2023-06-14,140.0000,1000000
2023-06-15,140.0000,1000000
2023-06-16,140.0000,1000000
2023-06-19,140.0000,1000000
2023-06-20,140.0000,2500000
2023-06-21,140.0000,1000000
2023-06-22,140.0000,1000000
2023-06-23,140.0000,1000000
2023-06-26,140.0000,1000000
2023-06-27,140.0000,1000000
2023-06-28,140.0000,2500000
2023-06-29,140.0000,1000000
2023-06-30,140.0000,1000000
2023-07-03,140.0000,1000000
2023-07-04,140.0000,1000000
2023-07-05,140.0000,1000000
2023-07-06,140.0000,2500000
2023-07-07,140.0000,1000000
2023-07-10,140.0000,1000000
2023-07-11,140.0000,1000000
2023-07-12,140.0000,1000000
2023-07-13,140.0000,1000000
2023-07-14,140.0000,2500000
2023-07-17,140.0000,1000000
2023-07-18,140.0000,1000000
2023-07-19,140.0000,1000000
2023-07-20,140.0000,1000000
2023-07-21,140.0000,1000000
2023-07-24,140.0000,2500000
2023-07-25,140.0000,1000000
2023-07-26,140.0000,1000000
2023-07-27,140.0000,1000000
2023-07-28,140.0000,1000000
2023-07-31,140.0000,1000000
2023-08-01,140.0000,2500000
2023-08-02,140.0000,1000000
2023-08-03,140.0000,1000000
2023-08-04,140.0000,1000000
2023-08-07,140.0000,1000000
2023-08-08,140.0000,1000000
2023-08-09,140.0000,2500000
2023-08-10,140.0000,1000000
2023-08-11,140.0000,1000000
2023-08-14,140.0000,1000000
2023-08-15,140.0000,1000000
2023-08-16,140.0000,1000000
2023-08-17,140.0000,2500000
2023-08-18,140.0000,1000000
2023-08-21,140.0000,1000000
2023-08-22,140.0000,1000000
2023-08-23,140.0000,1000000
2023-08-24,140.0000,1000000
2023-08-25,140.0000,2500000
2023-08-28,140.0000,1000000
2023-08-29,140.0000,1000000
2023-08-30,140.0000,1000000
2023-08-31,140.0000,1000000
2023-09-01,140.0000,1000000
2023-09-04,140.0000,2500000
2023-09-05,140.0000,1000000
2023-09-06,140.0000,1000000
2023-09-07,140.0000,1000000
2023-09-08,140.0000,1000000
2023-09-11,140.0000,1000000
2023-09-12,140.0000,2500000
2023-09-13,140.0000,1000000
2023-09-14,140.0000,1000000
2023-09-15,140.0000,1000000
2023-09-18,140.0000,1000000
2023-09-19,140.0000,1000000
2023-09-20,140.0000,2500000
2023-09-21,140.0000,1000000
2023-09-22,140.0000,1000000
2023-09-25,140.0000,1000000
2023-09-26,140.0000,1000000
2023-09-27,140.0000,1000000
2023-09-28,140.0000,2500000
2023-09-29,140.0000,1000000
